sample,source_index,router_input_tokens,end_to_end_ms,model_only_ms
1,150,642,42.2928440002579,41.95410700049251
2,1304,910,47.55578599906585,42.54294499878597
3,1102,98,43.92332000134047,41.99139200136415
4,739,696,43.07433499889157,39.6769189992483
5,729,696,40.96400399976119,38.45028499927139
6,1446,1024,53.90617200100678,47.49477699988347
7,144,636,44.3088030006038,40.227991999927326
8,1175,108,41.618457000367926,41.67014999984531
9,339,433,51.39329799931147,53.58479999995325
10,158,635,53.3804369988502,40.91679399971326
11,887,643,45.04937300043821,42.7968210005929
12,1643,1024,48.90438099937455,46.32026699982816
13,1239,128,45.18825999912224,41.746197999600554
14,1282,102,40.22721599903889,40.65131800052768
15,1208,116,42.72441099965363,40.93533300147101
16,1324,858,45.076987000356894,41.32962999938172
17,864,645,44.37385399978666,39.59260600095149
18,215,615,45.13071799919999,40.02182700060075
19,1414,994,47.747949000040535,47.13822200028517
20,758,643,43.93749900009425,40.89981699871714
21,843,648,58.82974899941473,46.63104999963252
22,624,704,44.07027200068114,40.04214099950332
23,307,431,44.78352699879906,40.17163200114737
24,1561,1024,48.483477999980096,48.4198110007128
25,1316,834,45.86405200097943,41.766891999941436
26,1084,101,42.362015001344844,39.267958998607355
27,678,699,43.16862399900856,39.6299200001522
28,1386,847,46.120144999804324,41.6941349994886
29,919,653,44.18292400077917,41.33256900058768
30,747,700,44.512806000057026,39.857329000369646
31,759,643,43.693478999557556,39.975474999664584
32,382,443,46.73178600023675,63.0186340004002
33,155,636,48.89820999960648,46.47214199940208
34,934,650,45.14004299926455,41.33802100113826
35,1496,1024,48.95936300090398,46.621002999017946
36,107,579,43.97977199914749,40.07104199990863
37,1446,1024,48.6129479995725,47.06995999913488
38,1394,837,45.53909399874101,40.896855998653336
39,466,437,46.37645299953874,40.69253099987691
40,1064,114,43.62377600045875,42.50587099886616
41,278,433,41.63668699948175,40.30144399985147
42,1277,112,43.135666999660316,41.37454700139642
43,1180,110,40.713656999287196,38.49106699999538
44,597,687,60.83162200047809,42.85048800011282
45,114,580,44.53504699995392,39.845314999183756
46,1635,1024,48.049238001112826,48.6439389987936
47,750,650,45.36107700005232,41.97283600115043
48,1504,1024,48.3082499995362,46.147093999024946
49,1142,151,43.559200001254794,41.870124001434306
50,1311,836,45.402771000226494,42.19633799948497
51,1280,112,52.5149719996989,38.31308799999533
52,327,442,43.29873200003931,39.42111499964085
53,613,700,44.27112600023975,43.765381999037345
54,786,653,44.74990800008527,41.78083499937202
55,838,643,51.87739400025748,51.966790000733454
56,73,634,49.15987700042024,42.211705000227084
57,920,653,45.81328800122719,42.276537000361714
58,259,436,47.97701300049084,44.752023999535595
59,1252,89,41.45732799952384,39.48073199899227
60,1150,119,44.27492100148811,43.71424599958118
61,1554,1024,51.785814999675495,46.74765999880037
62,1254,82,48.54416099988157,46.87411600025371
63,617,702,47.33231499994872,40.36442799952056
64,1630,1024,49.97046499920543,47.88589900090301
65,692,699,43.491189999258495,39.647520001381054
66,549,687,49.89887900046597,40.178025999921374
67,1525,1024,62.52135199974873,46.550734999982524
68,624,704,42.97794900048757,39.38708100031363
69,128,598,45.15898999852652,68.99380400136579
70,791,645,72.81408200105943,56.06058800003666
71,1340,911,62.864486000762554,55.482376999862026
72,319,442,57.38462699991942,50.145605999205145
73,780,652,62.01111900008982,53.07328100025188
74,218,629,56.5013129998988,52.42396799985727
75,1156,90,59.11687499974505,62.034905999098555
76,801,643,75.306044998797,73.60995700037165
77,556,687,62.29262899978494,56.07528700056719
78,382,443,59.81836099999782,56.05751199982478
79,951,643,64.35803300155385,61.20596199980355
80,1128,98,57.97539000013785,54.098844000691315
81,1584,1024,68.24069499998586,57.13630900027056
82,736,699,61.065073001373094,62.27630799912731
83,270,455,71.39634899976954,67.09503600177413
84,1403,852,63.40659499983303,53.640293999706046
85,1061,117,73.122477000652,54.844807000336004
86,1179,130,52.484413999991375,52.0399710003403
87,163,584,68.66668300062884,64.11495299835224
88,526,687,73.64449200031231,64.96049599991238
89,1293,111,69.37695700071345,73.39251499979582
90,1402,842,54.61294000087946,42.98374999962107
91,733,711,43.723323000449454,48.794498999995994
92,1356,878,46.33836599896313,43.96220700073172
93,1418,845,45.835709001039504,41.69173599984788
94,652,687,43.69542200038268,54.342078999980004
95,1513,1024,49.08477599929029,46.78495000007388
96,485,443,42.657673999201506,39.28501299924392
97,403,439,43.74991899931047,41.94353099956061
98,1150,119,43.83943399989221,41.364012999110855
99,1072,101,41.773151999223046,41.9347770002787
100,235,617,43.48213600133022,39.74615500010259
