strategy,dataset,prompts,quality,fallback_quality,quality_retention,quality_retention_lcb,quality_loss_rate,quality_loss_rate_ucl,routed_safety_precision,routed_safety_precision_lcb,safe_opportunity_recall,routed_fraction,macro_dataset_quality_retention,macro_dataset_quality_retention_lcb,macro_dataset_count,guarded_dataset_quality_retention,guarded_dataset_quality_retention_lcb,guarded_dataset_count,mean_resource,fallback_resource,resource_savings,conservative_resource_savings,fallback_usage
best_single,bbh_formal_fallacies,250,0.596,0.596,1.0,1.0,0.0,0.010706308287166164,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.374269787555555,2.374269787555555,0.0,0.0,1.0
best_single,bbh_geometric_shapes,250,0.516,0.516,1.0,1.0,0.0,0.010706308287166164,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.811434524,2.811434524,0.0,0.0,1.0
best_single,bbh_sports_understanding,250,0.732,0.732,1.0,1.0,0.0,0.010706308287166164,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9781466284444444,0.9781466284444444,0.0,0.0,1.0
best_single,bbh_web_of_lies,250,0.564,0.564,1.0,1.0,0.0,0.010706308287166164,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.356599031111111,1.356599031111111,0.0,0.0,1.0
best_single,math_algebra_hard,300,0.0,0.0,0.0,0.0,0.0,0.00893787217512817,1.0,1.0,0.0,0.0,,,0.0,1.0,1.0,0.0,3.246580299259259,3.246580299259259,0.0,0.0,1.0
best_single,math_counting_and_prob_hard,123,0.0,0.0,0.0,0.0,0.0,0.021522865100085338,1.0,1.0,0.0,0.0,,,0.0,1.0,1.0,0.0,3.267569682926829,3.267569682926829,0.0,0.0,1.0
best_single,musr_team_allocation,250,0.448,0.448,1.0,1.0,0.0,0.010706308287166164,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.943111876,2.943111876,0.0,0.0,1.0
cheapest_single,bbh_formal_fallacies,250,0.556,0.596,0.9328859060402686,0.8224930451710422,0.22,0.2659650690631838,0.78,0.7340349309368163,0.8823529411764706,1.0,0.9328859060402686,0.9328859060402686,1.0,0.9328859060402686,0.8224930451710422,1.0,0.4924343591111111,2.374269787555555,0.7925954490546333,0.7925954490546333,0.0
cheapest_single,bbh_geometric_shapes,250,0.196,0.516,0.3798449612403101,0.28561102614036826,0.32,0.370232482343676,0.68,0.629767517656324,0.8717948717948718,1.0,0.3798449612403101,0.3798449612403101,1.0,0.3798449612403101,0.28561102614036826,1.0,0.580901336,2.811434524,0.7933790273111123,0.7933790273111123,0.0
cheapest_single,bbh_sports_understanding,250,0.604,0.732,0.825136612021858,0.727342936886339,0.308,0.3578690534481265,0.692,0.6421309465518734,0.7424892703862661,1.0,0.825136612021858,0.825136612021858,1.0,0.825136612021858,0.727342936886339,1.0,0.20990746488888892,0.9781466284444444,0.7854028641669943,0.7854028641669943,0.0
cheapest_single,bbh_web_of_lies,250,0.532,0.564,0.9432624113475179,0.8040971571880043,0.3,0.3496060880217052,0.7,0.6503939119782948,0.8620689655172413,1.0,0.9432624113475179,0.9432624113475179,1.0,0.9432624113475179,0.8040971571880043,1.0,0.28649310222222224,1.356599031111111,0.7888151947244334,0.7888151947244334,0.0
cheapest_single,math_algebra_hard,300,0.043333333333333335,0.0,43333333333.333336,23965411109.50404,0.0,0.00893787217512817,1.0,0.991062127824872,1.0,1.0,,,0.0,1.0,1.0,0.0,0.6689597451851853,3.246580299259259,0.793949422616217,0.793949422616217,0.0
cheapest_single,math_counting_and_prob_hard,123,0.0,0.0,0.0,0.0,0.0,0.021522865100085338,1.0,0.9784771348999147,1.0,1.0,,,0.0,1.0,1.0,0.0,0.6732072682926831,3.267569682926829,0.7939730951078976,0.7939730951078976,0.0
cheapest_single,musr_team_allocation,250,0.388,0.448,0.8660714285714286,0.7203195810148519,0.228,0.27442029874217744,0.772,0.7255797012578226,0.8502202643171806,1.0,0.8660714285714286,0.8660714285714286,1.0,0.8660714285714286,0.7203195810148519,1.0,0.6075482640000002,2.943111876,0.7935694293668094,0.7935694293668094,0.0
dataset_lookup,bbh_formal_fallacies,250,0.596,0.596,1.0,1.0,0.0,0.010706308287166164,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.374269787555555,2.374269787555555,0.0,0.0,1.0
dataset_lookup,bbh_geometric_shapes,250,0.516,0.516,1.0,1.0,0.0,0.010706308287166164,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.811434524,2.811434524,0.0,0.0,1.0
dataset_lookup,bbh_sports_understanding,250,0.732,0.732,1.0,1.0,0.0,0.010706308287166164,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9781466284444444,0.9781466284444444,0.0,0.0,1.0
dataset_lookup,bbh_web_of_lies,250,0.564,0.564,1.0,1.0,0.0,0.010706308287166164,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.356599031111111,1.356599031111111,0.0,0.0,1.0
dataset_lookup,math_algebra_hard,300,0.0,0.0,0.0,0.0,0.0,0.00893787217512817,1.0,1.0,0.0,0.0,,,0.0,1.0,1.0,0.0,3.246580299259259,3.246580299259259,0.0,0.0,1.0
dataset_lookup,math_counting_and_prob_hard,123,0.0,0.0,0.0,0.0,0.0,0.021522865100085338,1.0,1.0,0.0,0.0,,,0.0,1.0,1.0,0.0,3.267569682926829,3.267569682926829,0.0,0.0,1.0
dataset_lookup,musr_team_allocation,250,0.448,0.448,1.0,1.0,0.0,0.010706308287166164,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.943111876,2.943111876,0.0,0.0,1.0
outcome_oracle,bbh_formal_fallacies,250,0.776,0.596,1.302013422818792,1.234820350014889,0.0,0.010706308287166164,1.0,0.9879057826984488,1.0,0.884,1.302013422818792,1.302013422818792,1.0,1.302013422818792,1.234820350014889,1.0,0.7572685977777778,2.374269787555555,0.6810520010207313,0.6810520010207313,0.116
outcome_oracle,bbh_geometric_shapes,250,0.516,0.516,1.0,1.0,0.0,0.010706308287166164,1.0,0.986315287842581,1.0,0.78,1.0,1.0,1.0,1.0,1.0,1.0,1.1311062653333332,2.811434524,0.5976764688355469,0.5976764688355469,0.22
outcome_oracle,bbh_sports_understanding,250,0.912,0.732,1.2459016393442623,1.1911925254219589,0.0,0.010706308287166164,1.0,0.9885215111428963,1.0,0.932,1.2459016393442623,1.2459016393442623,1.0,1.2459016393442623,1.1911925254219589,1.0,0.3091383911111111,0.9781466284444444,0.6839549591836382,0.6839549591836382,0.068
outcome_oracle,bbh_web_of_lies,250,0.832,0.564,1.4751773049645391,1.3933173659415992,0.0,0.010706308287166164,1.0,0.9868474937103523,1.0,0.812,1.4751773049645391,1.4751773049645391,1.0,1.4751773049645391,1.3933173659415992,1.0,0.5182159488888889,1.356599031111111,0.6180035979647954,0.6180035979647954,0.188
outcome_oracle,math_algebra_hard,300,0.043333333333333335,0.0,43333333333.333336,23965411109.50404,0.0,0.00893787217512817,1.0,0.991062127824872,1.0,1.0,,,0.0,1.0,1.0,0.0,0.6689597451851853,3.246580299259259,0.793949422616217,0.793949422616217,0.0
outcome_oracle,math_counting_and_prob_hard,123,0.0,0.0,0.0,0.0,0.0,0.021522865100085338,1.0,0.9784771348999147,1.0,1.0,,,0.0,1.0,1.0,0.0,0.6732072682926831,3.267569682926829,0.7939730951078976,0.7939730951078976,0.0
outcome_oracle,musr_team_allocation,250,0.616,0.448,1.375,1.28801069255862,0.0,0.010706308287166164,1.0,0.988221688456395,1.0,0.908,1.375,1.375,1.0,1.375,1.28801069255862,1.0,0.9069929497777778,2.943111876,0.6918251877633421,0.6918251877633421,0.092
qwen15_last_token_router,bbh_formal_fallacies,250,0.596,0.596,1.0,1.0,0.0,0.010706308287166164,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.378269787555556,2.374269787555555,-0.0016847285093575248,-0.008423642546785404,1.0
qwen15_last_token_router,bbh_geometric_shapes,250,0.516,0.516,1.0,1.0,0.0,0.010706308287166164,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.815434524,2.811434524,-0.0014227612152635238,-0.007113806076317397,1.0
qwen15_last_token_router,bbh_sports_understanding,250,0.732,0.732,1.0,1.0,0.0,0.010706308287166164,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9821466284444443,0.9781466284444444,-0.004089366444334663,-0.020446832221674427,1.0
qwen15_last_token_router,bbh_web_of_lies,250,0.564,0.564,1.0,1.0,0.0,0.010706308287166164,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.360599031111111,1.356599031111111,-0.002948549946054424,-0.014742749730271676,1.0
qwen15_last_token_router,math_algebra_hard,300,0.043333333333333335,0.0,43333333333.333336,23965411109.50404,0.0,0.00893787217512817,1.0,0.991062127824872,1.0,1.0,,,0.0,1.0,1.0,0.0,0.6729597451851852,3.246580299259259,0.7927173569867568,0.7877890944689159,0.0
qwen15_last_token_router,math_counting_and_prob_hard,123,0.0,0.0,0.0,0.0,0.0,0.021522865100085338,1.0,0.9784771348999147,1.0,1.0,,,0.0,1.0,1.0,0.0,0.677207268292683,3.267569682926829,0.7927489437084951,0.7878523381108852,0.0
qwen15_last_token_router,musr_team_allocation,250,0.448,0.448,1.0,1.0,0.0,0.010706308287166164,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.947111876,2.943111876,-0.0013591056570489979,-0.0067955282852454335,1.0
