sample,source_index,router_input_tokens,end_to_end_ms,model_only_ms
1,150,517,124.59705500077689,127.57568300003186
2,1304,861,198.8189620024059,195.43523100219318
3,1102,71,76.35929400203167,73.20181600152864
4,739,577,132.07370799864293,136.11813500028802
5,729,577,135.99642199915252,135.3265299985651
6,1446,1024,227.11655600141967,220.69956199993612
7,144,515,128.57009400249808,127.35538099877886
8,1175,79,78.94216700151446,73.13044300099136
9,339,307,78.30235400251695,82.61812100317911
10,158,515,127.67414599875337,126.45981300011044
11,887,528,131.17679200149723,128.31987500248943
12,1643,1024,225.77822699895478,221.57496300133062
13,1239,99,78.37648799977615,81.59879300001194
14,1282,72,85.9272300003795,82.46716800204013
15,1208,87,75.51232900004834,75.08696500008227
16,1324,789,180.5520920024719,183.87184099992737
17,864,526,130.31747899731272,129.0493519991287
18,215,499,115.53967099825968,115.86475500007509
19,1414,929,211.10884999870905,205.84519999829354
20,758,528,131.51045400081784,128.53577300120378
21,843,531,130.68072999885771,129.61117400118383
22,624,585,145.39228100329638,135.7855850001215
23,307,305,118.4042459972261,106.19884100015042
24,1561,1024,225.2148279985704,222.61036499912734
25,1316,762,172.85962399910204,172.43160299767624
26,1084,72,88.38268700128538,84.19303499977104
27,678,582,133.7242650006374,136.39936199979275
28,1386,772,184.88517500009038,182.8716189993429
29,919,538,132.67107600040617,128.9384980009345
30,747,583,139.59834100023727,135.7294980007282
31,759,528,129.1949480000767,128.97944699943764
32,382,316,81.3746159983566,81.6581409999344
33,155,515,127.27799200001755,126.93831100114039
34,934,531,131.1849740013713,128.38374899729388
35,1496,1024,226.92067099706037,220.28548900198075
36,107,465,109.33933499836712,105.38041200197767
37,1446,1024,227.12973000307102,221.69603299698792
38,1394,760,171.54190200017183,166.80977500072913
39,466,310,83.1628300002194,81.06344099724083
40,1064,86,80.87498199893162,93.71588300200528
41,278,308,79.80951300123706,82.26206499966793
42,1277,77,75.88704399677226,75.87305199922412
43,1180,82,76.43924699732452,74.18224899811321
44,597,566,129.05793000027188,132.84120699972846
45,114,468,108.30999700192478,105.8632669992221
46,1635,1024,227.90395400079433,221.96292499938863
47,750,535,131.79669199962518,129.5087219987181
48,1504,966,218.27585299979546,214.26637500189827
49,1142,123,80.14197499869624,75.7827420020476
50,1311,763,165.05962700102828,168.55641600341187
51,1280,84,84.78662400011672,73.94552799814846
52,327,316,77.35401300305966,79.14019699819619
53,613,583,136.24229700144497,137.1522699992056
54,786,538,132.30151400057366,129.90579499819432
55,838,528,130.80841400005738,128.37623399900622
56,73,517,129.50266800180543,127.47068200042122
57,920,538,130.83940599972266,130.4629059995932
58,259,309,93.10073100277805,80.4313180015015
59,1252,61,78.12855900192517,81.94278700102586
60,1150,89,76.20233200213988,73.81475399961346
61,1554,1024,219.76916400308255,221.07794799740077
62,1254,53,85.97712000118918,79.89537999674212
63,617,585,131.94036500135553,137.03097899997374
64,1630,1024,226.25482800140162,221.1381259985501
65,692,582,140.98153799932334,139.04561099843704
66,549,570,138.10591899891733,134.55195400092634
67,1525,1024,227.8707299992675,221.41398999883677
68,624,585,138.5981739986164,136.58798899996327
69,128,476,112.36818399993354,106.78736599948024
70,791,530,132.01806899814983,131.98884699886548
71,1340,849,199.98063300226931,195.72290599899134
72,319,312,144.4475300013437,130.64730100086308
73,780,535,131.61792399841943,128.81019899941748
74,218,517,129.20755900267977,127.75161799800117
75,1156,61,83.23739999832469,72.98057500156574
76,801,526,123.24343000000226,128.2110329993884
77,556,570,136.7071750028117,134.45003100059694
78,382,316,80.55739599876688,78.40213600138668
79,951,528,128.7686469986511,128.60559299952
80,1128,72,75.73833800051943,78.35768899894902
81,1584,1024,219.96824400048354,221.01364600166562
82,736,582,136.68269300251268,136.14107299872558
83,270,325,83.47277800203301,79.10785499916528
84,1403,777,182.6410659996327,183.65666099998634
85,1061,87,77.94976799777942,75.57427999927313
86,1179,102,83.16882799772429,74.99746800021967
87,163,470,101.63570899749175,108.07803400166449
88,526,570,135.97018200016464,134.71752799887327
89,1293,81,78.15062699955888,71.5277090021118
90,1402,770,179.81686299754074,183.0071330005012
91,733,591,139.64710300206207,137.2507330015651
92,1356,800,187.49523299993598,185.90886600213707
93,1418,770,185.15078099881066,181.74604200248723
94,652,568,135.63751000037882,134.41696200243314
95,1513,1024,227.01010099990526,221.73007899982622
96,485,317,88.3958390004409,97.30836400194676
97,403,313,80.26335400063545,78.3425410008931
98,1150,89,74.77717000074335,73.63021499986644
99,1072,76,87.73320199907175,78.03568999952404
100,235,505,105.77301800003625,111.4925130023039
