threshold,quality,fallback_quality,quality_retention,quality_retention_lcb,quality_loss_rate,quality_loss_rate_ucl,routed_safety_precision,routed_safety_precision_lcb,safe_opportunity_recall,routed_fraction,macro_dataset_quality_retention,macro_dataset_quality_retention_lcb,macro_dataset_count,guarded_dataset_quality_retention,guarded_dataset_quality_retention_lcb,guarded_dataset_count,mean_resource,fallback_resource,resource_savings,conservative_resource_savings,fallback_usage,passes_quality_gate,passes_nominal_savings_gate,passes_conservative_savings_gate,passes_macro_gate,passes_harm_gate,passes_precision_gate,passes_guarded_dataset_gate,gate_pass_count,passes_base_gates,feasible_block_size,passes_stability_gate,is_feasible
0.5,0.3626112759643917,0.42433234421364985,0.8545454545454545,0.8035246065798289,0.17863501483679525,0.1944954849435215,0.8213649851632048,0.8055045150564785,0.9039843239712606,1.0,0.9426055069955502,0.723210912067586,6.0,0.5662100456621004,0.4029281609746722,6.0,0.4879167883943291,2.33217971407847,0.7907893695117219,0.7839288347495789,0.0,False,True,True,False,False,False,False,2,False,0,False,False
0.6,0.3626112759643917,0.42433234421364985,0.8545454545454545,0.8035246065798289,0.17863501483679525,0.1944954849435215,0.8213649851632048,0.8055045150564785,0.9039843239712606,1.0,0.9426055069955502,0.723210912067586,6.0,0.5662100456621004,0.4029281609746722,6.0,0.4879167883943291,2.33217971407847,0.7907893695117219,0.7839288347495789,0.0,False,True,True,False,False,False,False,2,False,0,False,False
0.7,0.3626112759643917,0.42433234421364985,0.8545454545454545,0.8035246065798289,0.17863501483679525,0.1944954849435215,0.8213649851632048,0.8055045150564785,0.9039843239712606,1.0,0.9426055069955502,0.723210912067586,6.0,0.5662100456621004,0.4029281609746722,6.0,0.4879167883943291,2.33217971407847,0.7907893695117219,0.7839288347495789,0.0,False,True,True,False,False,False,False,2,False,0,False,False
0.75,0.3810089020771513,0.42433234421364985,0.8979020979020979,0.8475995262646561,0.16439169139465876,0.1797789839635046,0.8356083086053413,0.8202210160364954,0.9196603527106466,1.0,0.9836107980008412,0.793317350954208,6.0,0.5662100456621004,0.46295934996358695,6.0,0.5543083528519618,2.33217971407847,0.7623217672695565,0.7554612325074135,0.0,False,True,True,False,False,False,False,2,False,0,False,False
0.8,0.40118694362017804,0.42433234421364985,0.9454545454545454,0.8956672877707773,0.15074183976261127,0.1656383635123214,0.8491686460807601,0.8342641878527499,0.9340300457217505,0.9994065281899109,1.0115493578224803,0.8419027771837222,6.0,0.6986301369863014,0.5384315300185378,6.0,0.6087600143752061,2.33217971407847,0.7389737974735152,0.7321132627113722,0.0005934718100890207,False,True,True,False,False,False,False,2,False,0,False,False
0.85,0.4172106824925816,0.42433234421364985,0.9832167832167832,0.9445792971150406,0.08724035608308606,0.09921977769669296,0.8721739130434782,0.8551004994525598,0.6551273677335075,0.6824925816023739,1.0280572203196348,0.8892510117331203,6.0,0.858447488584475,0.4847958201912978,6.0,1.1029105246950213,2.33217971407847,0.527090250362279,0.5202297156001359,0.31750741839762614,False,True,True,False,False,False,False,2,False,0,False,False
0.855,0.42077151335311574,0.42433234421364985,0.9916083916083916,0.9539379935520107,0.08130563798219585,0.09294011560091675,0.8753412192902639,0.8580236874188534,0.6283474853037231,0.6522255192878338,1.0326234303652968,0.896662310895235,6.0,0.8858447488584474,0.4847958201912978,6.0,1.1148096237388723,2.33217971407847,0.5219881139479963,0.5151275791858534,0.34777448071216616,False,True,True,False,False,False,False,2,False,0,False,False
0.86,0.42433234421364985,0.42433234421364985,1.0,0.9630376157943066,0.07655786350148368,0.08790410805068757,0.8776091081593927,0.8600306666971703,0.6041802743305029,0.6255192878338279,1.0371896404109588,0.9037111360793795,6.0,0.8999999999999999,0.4847958201912978,6.0,1.1253462757665675,2.33217971407847,0.5174701722284583,0.5106096374663152,0.3744807121661721,False,True,True,False,False,False,False,2,False,0,False,False
0.865,0.41602373887240357,0.42433234421364985,0.9804195804195804,0.9495560213899322,0.057566765578635014,0.06762884407979716,0.8743523316062176,0.8534138636083559,0.4408883082952319,0.458160237388724,1.008022973744292,0.9652783987235009,6.0,0.91324200913242,0.7373298501594149,6.0,1.3317985946587538,2.33217971407847,0.4289468403231539,0.422086305561011,0.541839762611276,False,True,True,False,False,False,False,2,False,0,False,False
0.87,0.41543026706231456,0.42433234421364985,0.9790209790209791,0.95964915475732,0.025519287833827894,0.03263950536913427,0.906318082788671,0.8815048371418823,0.2717178314826911,0.27240356083086054,0.9828410388127854,0.960303877310459,6.0,0.9333333333333333,0.8492562279665448,6.0,1.5599450497856908,2.33217971407847,0.33112142243202625,0.32426088766988326,0.7275964391691395,False,True,True,False,False,False,False,2,False,0,False,False
