dataset,candidate,prompts,safe_prevalence,probability_mean,probability_min,probability_max,probability_span,within_dataset_roc_auc
bbh_formal_fallacies,Qwen2.5-1.5B,250,0.78,0.7770267648696899,0.7679674029350281,0.787452757358551,0.01948535442352295,0.4893240093240093
bbh_geometric_shapes,Qwen2.5-1.5B,250,0.68,0.7486233897209168,0.747127890586853,0.7501285672187805,0.0030006766319274902,0.48036764705882357
bbh_sports_understanding,Qwen2.5-1.5B,250,0.692,0.8066549308300018,0.7899621725082397,0.8214336037635803,0.031471431255340576,0.46445462052398473
bbh_web_of_lies,Qwen2.5-1.5B,250,0.7,0.7989244303703308,0.7915230393409729,0.8066955804824829,0.01517254114151001,0.5919238095238096
math_algebra_hard,Qwen2.5-1.5B,300,1.0,0.9921352581183116,0.9676056504249573,0.994176983833313,0.026571333408355713,
math_counting_and_prob_hard,Qwen2.5-1.5B,123,1.0,0.9915005002564531,0.9717559218406677,0.9939510822296143,0.022195160388946533,
musr_team_allocation,Qwen2.5-1.5B,250,0.772,0.8619282350540162,0.8402705788612366,0.8831536173820496,0.04288303852081299,0.40378147441141715
bbh_formal_fallacies,Qwen2.5-3B,250,0.752,0.8608446917533874,0.850558340549469,0.8704268336296082,0.01986849308013916,0.46568291008922447
bbh_geometric_shapes,Qwen2.5-3B,250,0.78,0.8140341258049011,0.8119354844093323,0.8154176473617554,0.0034821629524230957,0.5723076923076923
bbh_sports_understanding,Qwen2.5-3B,250,0.872,0.8559334144592285,0.8437906503677368,0.8691122531890869,0.025321602821350098,0.5729644495412844
bbh_web_of_lies,Qwen2.5-3B,250,0.692,0.8522315967082977,0.8453954458236694,0.8592082262039185,0.013812780380249023,0.5057803468208092
math_algebra_hard,Qwen2.5-3B,300,1.0,0.9888621306419373,0.9777565002441406,0.9918751120567322,0.014118611812591553,
math_counting_and_prob_hard,Qwen2.5-3B,123,1.0,0.988545125577508,0.9715700745582581,0.9920448064804077,0.020474731922149658,
musr_team_allocation,Qwen2.5-3B,250,0.808,0.9088836188316345,0.8948055505752563,0.9205206632614136,0.025715112686157227,0.3958333333333333
