threshold,quality,fallback_quality,quality_retention,quality_retention_lcb,quality_loss_rate,quality_loss_rate_ucl,routed_safety_precision,routed_safety_precision_lcb,safe_opportunity_recall,routed_fraction,macro_dataset_quality_retention,macro_dataset_quality_retention_lcb,macro_dataset_count,guarded_dataset_quality_retention,guarded_dataset_quality_retention_lcb,guarded_dataset_count,mean_resource,fallback_resource,resource_savings,conservative_resource_savings,fallback_usage,passes_quality_gate,passes_nominal_savings_gate,passes_conservative_savings_gate,passes_macro_gate,passes_harm_gate,passes_precision_gate,passes_guarded_dataset_gate,gate_pass_count,passes_base_gates,feasible_block_size,passes_stability_gate,is_feasible,setup
0.5,0.6077032810271041,0.7047075606276747,0.8623481781376519,0.8419951769698438,0.15977175463623394,0.17148012947766209,0.8172920065252854,0.8041084623800401,0.9430588235294117,0.8744650499286734,0.8574348195911983,0.7811472383691698,18.0,0.6805555555555556,0.548782720051503,12.0,1.7698484878744651,1.9527850990648277,0.09367984796584594,0.08548642206984647,0.12553495007132667,False,True,True,False,False,False,False,2,False,0,False,False,hybrid_r4
0.6,0.6319543509272468,0.7047075606276747,0.896761133603239,0.8775010164978211,0.13445078459343796,0.1454004918727645,0.8366551126516465,0.8236050706703129,0.9087058823529411,0.8231098430813124,0.9042802452483831,0.8436136597100982,18.0,0.7430555555555556,0.6182289329522974,12.0,1.7834367617689018,1.9527850990648277,0.08672144076530763,0.07852801486930816,0.1768901569186876,False,True,True,False,False,False,False,2,False,0,False,False,hybrid_r4
0.7,0.6497860199714693,0.7047075606276747,0.9220647773279353,0.9040624718920405,0.11233951497860199,0.12252466603581894,0.8502851711026616,0.8370412475743063,0.8418823529411765,0.7503566333808844,0.9476157885691924,0.8996679092444653,18.0,0.8055555555555557,0.6184661494978688,12.0,1.800452272943414,1.9527850990648277,0.07800798264712516,0.06981455675112536,0.24964336661911554,False,True,True,False,False,False,False,2,False,0,False,False,hybrid_r4
0.75,0.6611982881597718,0.7047075606276747,0.938259109311741,0.921142027789888,0.09807417974322397,0.1077037798266156,0.8572911261027504,0.8436836227635143,0.7774117647058824,0.6872325249643366,0.9649855442433315,0.9217617508289417,18.0,0.8333333333333333,0.6184661494978688,12.0,1.8147894016484385,1.9527850990648277,0.07066609504674848,0.06247266915074878,0.3127674750356633,False,True,True,False,False,False,False,2,False,0,False,False,hybrid_r4
0.8,0.6733238231098431,0.7047075606276747,0.9554655870445344,0.9395542788576867,0.08131241084165478,0.09021136850324253,0.8622356495468277,0.8477081883760053,0.6715294117647059,0.5902282453637661,0.976162436115794,0.9367217042292758,18.0,0.8402777777777779,0.5998155916137624,12.0,1.8316698739895387,1.9527850990648277,0.062021788845731174,0.05382836294973148,0.40977175463623394,False,True,True,False,False,False,False,2,False,0,False,False,hybrid_r4
0.85,0.6861626248216833,0.7047075606276747,0.9736842105263159,0.9602328040889351,0.055991440798858774,0.06357028398810634,0.8679562657695542,0.8509686705959468,0.48564705882352943,0.424037089871612,0.9923368089528893,0.9586517303347654,18.0,0.8774193548387096,0.7290546601723086,12.0,1.8643801846568393,1.9527850990648277,0.04527119469025276,0.03707776879425306,0.5759629101283881,False,True,True,False,False,False,False,2,False,0,False,False,hybrid_r4
0.855,0.6872325249643366,0.7047075606276747,0.9752024291497976,0.9621935297865798,0.052425106990014264,0.059789973359204676,0.8691006233303651,0.8516541896063287,0.4592941176470588,0.40049928673323826,0.9907216719020977,0.9579198160960263,18.0,0.8774193548387096,0.7350552436971381,12.0,1.8680301228403864,1.9527850990648277,0.0434021010632607,0.035208675167261116,0.5995007132667618,False,True,True,False,False,False,False,2,False,0,False,False,hybrid_r4
0.86,0.6893723252496433,0.7047075606276747,0.9782388663967612,0.9659366034034542,0.046718972895863055,0.05372265125354237,0.8740384615384615,0.8561383785050104,0.42776470588235294,0.37089871611982883,0.9913519841103958,0.958370432704579,18.0,0.888888888888889,0.7582809075926115,12.0,1.874345974005389,1.9527850990648277,0.04016782240759753,0.031974396511597836,0.6291012838801712,False,True,True,False,False,False,False,2,False,0,False,False,hybrid_r4
0.865,0.6940085592011412,0.7047075606276747,0.9848178137651823,0.9732911115461795,0.039586305278174035,0.04610020483357862,0.8827877507919747,0.8644935639188085,0.39341176470588235,0.3377318116975749,0.9979877700963091,0.9673611652914312,18.0,0.9166666666666667,0.8228379765474809,12.0,1.8795933277857026,1.9527850990648277,0.0374807096357791,0.0292872837397794,0.6622681883024251,False,True,True,False,False,False,False,2,False,0,False,False,hybrid_r4
0.87,0.6990014265335235,0.7047075606276747,0.9919028340080972,0.9813746414097435,0.03138373751783167,0.03726751562891187,0.8957345971563981,0.8771487460443825,0.3557647058823529,0.30099857346647646,1.001742123445421,0.9728696914177983,18.0,0.9166666666666667,0.8448623985532843,12.0,1.8865458646378188,1.9527850990648277,0.0339203911678404,0.025726965271840707,0.6990014265335235,False,True,True,False,False,False,False,2,False,0,False,False,hybrid_r4
