sample,source_index,router_input_tokens,end_to_end_ms,model_only_ms
1,1413,360,49.119176999738556,43.023316999097005
2,1825,34,61.48071700044966,47.6914079999915
3,1122,53,43.921929000134696,41.99192400028551
4,122,28,46.661422999932256,52.85346400069102
5,1614,52,46.08909000035055,43.091774999993504
6,56,43,46.811375000288535,57.692743000188784
7,773,33,48.39137399994797,47.93745899951318
8,2348,183,47.728384000038204,45.505719000175304
9,1299,396,46.58187400036695,45.105103999958374
10,1642,40,42.85171999981685,42.33129399926838
11,2699,35,47.42181800065737,46.789369999714836
12,628,37,41.96017499998561,40.299100000083854
13,2368,31,46.13386100027128,44.94179700031964
14,2103,251,44.61079300017445,42.537373000413936
15,1063,107,47.147828000561276,50.04998799995519
16,737,31,47.85023000022193,45.17050600043149
17,766,27,43.3505500004685,43.08240000045771
18,1175,105,61.834504999751516,52.160616999572085
19,1788,32,42.4604410000029,40.63449200020841
20,1261,97,47.78602700025658,47.12914399988222
21,411,256,45.485055000426655,42.139064999901166
22,2672,39,45.603348999975424,46.381969999856665
23,1088,298,44.75222099972598,42.92445000010048
24,2495,109,46.42981399956625,45.56423999929393
25,529,268,43.30294999999751,41.96478700032458
26,779,27,42.72634399967501,45.47230300067895
27,2173,512,45.808763000422914,41.97766900051647
28,779,27,42.73869400003605,41.21628099983354
29,2503,63,45.70759799935331,64.5121259994994
30,1180,105,48.03304599954572,46.22750100043049
31,1278,145,43.37620299975242,42.078269000739965
32,11,135,47.56636499951128,46.10392500035232
33,1181,105,47.088831000110076,47.72593500001676
34,864,189,44.16353099986736,43.087641000056465
35,1532,237,47.47950799992395,46.43221799960884
36,2663,32,44.99964399929013,44.643793999966874
37,39,29,43.07222599982197,45.22106999957032
38,2345,366,47.62667200066062,46.142335999320494
39,1118,59,44.062912999834225,41.513076000228466
40,1497,79,46.29958500026987,64.70145800085447
41,1315,479,45.884242999818525,43.65656499976467
42,1358,242,47.40203700021084,45.16304400021909
43,2307,324,48.403956999209186,45.065500999953656
44,2644,39,45.888792000368994,46.40446699977474
45,2769,49,43.49196000021038,43.1035729998257
46,1659,64,46.20724199958204,45.43717199976527
47,1959,256,46.81464499935828,43.739908000134164
48,2638,40,48.04309099927195,45.40111899950716
49,2609,37,47.663180000199645,76.96969300013734
50,2792,32,77.67588800015801,75.1799760000722
51,130,71,65.8964330004892,65.032672999223
52,94,34,63.77775200053293,60.18646800021088
53,1624,42,57.417580999754136,58.20693600071536
54,331,142,61.45879899941065,59.48645400076202
55,2416,26,55.54774299980636,52.76909900021565
56,2129,328,57.22462099947734,55.813598999520764
57,353,37,57.28108699986478,53.76796100063075
58,352,38,57.28351500056306,56.71922599958634
59,295,123,60.77689699941402,54.23449499994604
60,956,124,66.13799599927006,65.1928740007861
61,2364,105,63.09051799962617,58.83161400015524
62,839,36,53.88106999998854,52.14644300031068
63,1970,240,59.1520309999396,63.84642699958931
64,1541,94,69.80995100002474,64.40008899971872
65,1687,36,65.5831809999654,57.93151200032298
66,141,27,53.66503200002626,58.03380599991215
67,1892,162,62.203135000345355,59.18437000036647
68,1261,97,61.96276100035902,69.63680700027908
69,390,162,81.44068399997195,68.22240199926455
70,1554,45,71.27325400051632,75.73876900005416
71,1705,30,68.74744599917904,70.44420900001569
72,333,217,60.663367999950424,49.449519000518194
73,1400,437,44.91953599972476,42.00761100037198
74,955,89,44.87718800010043,44.59137699996063
75,2105,222,46.50319600023067,51.28786500063143
76,1411,412,51.32067500017001,49.05974099983723
77,93,32,47.15847300030873,46.965618999820435
78,850,165,44.912941000802675,55.110758999944665
79,1575,46,46.815626000352495,45.61186200044176
80,1169,61,43.27427499993064,44.30626900011703
81,747,39,43.053137000242714,41.54952399949252
82,1159,66,45.01861900007498,46.38724500000535
83,917,109,48.62058700018679,48.08584400052496
84,261,63,45.18879899933381,46.89813699951628
85,1949,135,49.088578000009875,46.785331000137376
86,1645,85,49.25507500047388,41.83092400035093
87,1484,162,45.15560599975288,44.25642299975152
88,207,26,43.71492500013119,43.93340399929002
89,1874,126,47.56135000025097,54.16851600057271
90,1624,42,54.556449000301654,47.49067900047521
91,2255,401,45.958415000313835,43.7352839999221
92,231,69,45.98033300044335,43.41172899967205
93,907,165,46.32699199919443,45.89852899971447
94,1508,49,50.05946299934294,44.96203000053356
95,369,49,45.54216899941821,45.6088520004414
96,2380,27,47.2574519999398,46.45359100049973
97,686,32,51.5068530003191,44.98278900064179
98,808,29,46.846439000546525,44.10070500034635
99,1088,298,48.503612999411416,45.96251699967979
100,231,69,45.943264000015915,50.91653999988921
