threshold,quality,fallback_quality,quality_retention,quality_retention_lcb,quality_loss_rate,quality_loss_rate_ucl,routed_safety_precision,routed_safety_precision_lcb,safe_opportunity_recall,routed_fraction,macro_dataset_quality_retention,macro_dataset_quality_retention_lcb,macro_dataset_count,guarded_dataset_quality_retention,guarded_dataset_quality_retention_lcb,guarded_dataset_count,mean_resource,fallback_resource,resource_savings,conservative_resource_savings,fallback_usage,passes_quality_gate,passes_nominal_savings_gate,passes_conservative_savings_gate,passes_macro_gate,passes_harm_gate,passes_precision_gate,passes_guarded_dataset_gate,gate_pass_count,passes_base_gates,feasible_block_size,passes_stability_gate,is_feasible
0.5,0.6004288777698356,0.7237312365975697,0.8296296296296296,0.8089734067685479,0.1847748391708363,0.19714615234420968,0.7997676219984509,0.786502989388124,0.9640522875816994,0.9228020014295926,0.7734477137046115,0.6689573034555579,18.0,0.2681159420289855,0.1326376322218142,13.0,1.7196390937971566,1.9125260114367404,0.10085453295073465,0.09248863366135429,0.07719799857040743,False,True,True,False,False,False,False,2,False,0,False,False
0.6,0.6447462473195139,0.7237312365975697,0.8908641975308642,0.8719583194626379,0.139385275196569,0.15050408213974528,0.8337595907928389,0.8207335061150366,0.9131652661064426,0.8384560400285919,0.8611509682803957,0.7983224172264348,18.0,0.7461538461538463,0.6017564979027263,13.0,1.7458336661107137,1.9125260114367404,0.08715821083175912,0.07879231154237853,0.16154395997140814,False,True,True,False,False,False,False,2,False,0,False,False
0.7,0.6690493209435311,0.7237312365975697,0.9244444444444445,0.9068572488409581,0.11258041458184417,0.12278582167540464,0.8502139800285307,0.8369643929434759,0.834733893557423,0.7516082916368835,0.932325557869017,0.8905098710223351,18.0,0.7846153846153846,0.6017564979027263,13.0,1.7686426923993328,1.9125260114367404,0.07523208478054566,0.0668661854911653,0.2483917083631165,False,True,True,False,False,False,False,2,False,0,False,False
0.75,0.6801286633309507,0.7237312365975697,0.9397530864197531,0.9230504145154147,0.09828448892065761,0.1079334385316504,0.854266030736619,0.8403983911730855,0.7525676937441643,0.674410293066476,0.9491512165206945,0.9133881558233766,18.0,0.8230769230769232,0.6017564979027263,13.0,1.7861250988801523,1.9125260114367404,0.0660910815333865,0.057725182244006246,0.32558970693352396,False,True,True,False,False,False,False,2,False,0,False,False
0.8,0.6987133666904932,0.7237312365975697,0.9654320987654321,0.9508934658185725,0.07005003573981415,0.07840906076985465,0.8719790986283474,0.8572745981311337,0.623249299719888,0.5471765546819156,0.9761750907506386,0.9465215025177339,18.0,0.8548387096774194,0.6017564979027263,13.0,1.8108020999126355,1.9125260114367404,0.053188249945780974,0.0448223506564005,0.4528234453180843,False,True,True,False,False,False,False,2,False,0,False,False
0.85,0.7112223016440314,0.7237312365975697,0.9827160493827161,0.9699592099804463,0.05039313795568263,0.05764042233773324,0.88,0.8635271216840336,0.4827264239028945,0.41994281629735525,0.9874934262875743,0.9598267234423026,18.0,0.8548387096774194,0.6092227268885814,13.0,1.8296745596060677,1.9125260114367404,0.04332043137464703,0.03495453208526689,0.5800571837026447,False,True,True,False,False,False,False,2,False,0,False,False
0.855,0.7115796997855611,0.7237312365975697,0.9832098765432099,0.9706347797122121,0.048963545389563976,0.056120397998051186,0.8798245614035087,0.863077559924362,0.46825396825396826,0.40743388134381703,0.9920252919936916,0.9658511607646729,18.0,0.8709677419354839,0.6365006209773924,13.0,1.8311219243904373,1.9125260114367404,0.04256364962333248,0.034197750333952226,0.592566118656183,False,True,True,False,False,False,False,2,False,0,False,False
0.86,0.7137240886347391,0.7237312365975697,0.986172839506173,0.9739670836332585,0.045389563974267334,0.05231332298103205,0.8827331486611265,0.8656900592453503,0.446311858076564,0.38706218727662617,0.992007837567094,0.9697915133483421,18.0,0.8870967741935484,0.6561888539502626,13.0,1.834675098085934,1.9125260114367404,0.04070580629244491,0.03233990700306466,0.6129378127233739,False,True,True,False,False,False,False,2,False,0,False,False
0.865,0.7155110793423874,0.7237312365975697,0.9886419753086421,0.9771293722281283,0.040028591851322376,0.04658178853956172,0.8892185954500494,0.8719318381336006,0.4197012138188609,0.36132952108649036,0.9969303894264743,0.9782803082624636,18.0,0.9190751445086706,0.7968537607581434,13.0,1.8385268398062105,1.9125260114367404,0.038691851084911355,0.030325951795530992,0.6386704789135097,False,True,True,False,False,False,False,2,False,0,False,False
0.87,0.7162258756254467,0.7237312365975697,0.9896296296296296,0.9785842502904003,0.0368120085775554,0.043129070456322756,0.8881650380021715,0.869933504945469,0.3818860877684407,0.3291636883488206,0.9985614735260017,0.9809719397897443,18.0,0.9190751445086706,0.8200259310203389,13.0,1.8442748598205063,1.9125260114367404,0.03568639130035256,0.027320492010972086,0.6708363116511794,False,True,True,True,False,False,False,3,False,0,False,False
0.875,0.7147962830593281,0.7237312365975697,0.9876543209876544,0.977353038267916,0.03323802716225876,0.03927863016141604,0.884472049689441,0.8646388051008442,0.33239962651727356,0.28770550393137956,0.9958431949642002,0.9789860317706233,18.0,0.9248554913294798,0.8348297381423174,13.0,1.851380983241998,1.9125260114367404,0.03197082174522092,0.02360492245584056,0.7122944960686205,False,True,True,False,False,False,False,2,False,0,False,False
0.88,0.7190850607576841,0.7237312365975697,0.9935802469135803,0.9841429078219837,0.02644746247319514,0.03191315822568916,0.892128279883382,0.8710832417838109,0.2857142857142857,0.24517512508934952,1.0023478417387315,0.98569929730125,18.0,0.9364161849710984,0.8511714766366074,13.0,1.8587305114764512,1.9125260114367404,0.028127983430602632,0.01976208414122227,0.7548248749106504,False,True,True,True,False,False,False,3,False,0,False,False
0.885,0.720157255182273,0.7237312365975697,0.9950617283950617,0.9862379401898084,0.0228734810578985,0.028003797454600323,0.8922558922558923,0.8695237428426463,0.24743230625583568,0.21229449606862044,1.0019943836539584,0.9859669562533142,18.0,0.9248554913294798,0.8427504528355645,13.0,1.8651938726074178,1.9125260114367404,0.024748494162317503,0.01638259487293725,0.7877055039313795,False,True,True,True,False,False,False,3,False,0,False,False
0.89,0.7197998570407433,0.7237312365975697,0.9945679012345678,0.9864049436068318,0.020014295925661188,0.024855447673595196,0.8918918918918919,0.8673803209778025,0.21568627450980393,0.18513223731236597,1.0012559895707476,0.985350975666051,18.0,0.9248554913294798,0.8427504528355645,13.0,1.870292919545707,1.9125260114367404,0.02208236208997061,0.013716462800590357,0.8148677626876341,False,True,True,True,True,False,False,4,False,0,False,False
0.895,0.7212294496068621,0.7237312365975697,0.9965432098765433,0.9887939762501639,0.017512508934953538,0.022082070139790667,0.8941684665226782,0.8683198838537151,0.19327731092436976,0.16547533952823446,1.0047389175639714,0.99029099116826,18.0,0.930635838150289,0.8498383874427372,13.0,1.873428161385116,1.9125260114367404,0.020443042247698884,0.012077142958318299,0.8345246604717655,False,True,True,True,True,False,False,4,False,0,False,False
0.9,0.7197998570407433,0.7237312365975697,0.9945679012345678,0.9870796775565137,0.017155110793423873,0.02168424370418808,0.8840579710144928,0.8556469122111117,0.17086834733893558,0.14796283059328091,1.0031359470445016,0.9891948384753031,18.0,0.9248554913294798,0.8487781154375881,13.0,1.877591999841156,1.9125260114367404,0.01826590142391893,0.009900002134538455,0.852037169406719,False,True,True,True,True,False,False,4,False,0,False,False
0.905,0.7197998570407433,0.7237312365975697,0.9945679012345678,0.9875341785900295,0.015368120085775554,0.019688163692925063,0.8774928774928775,0.8457850139159604,0.1437908496732026,0.12544674767691208,1.0025383689572904,0.9902596512350421,18.0,0.9421965317919075,0.8704842369834009,13.0,1.8833690286712728,1.9125260114367404,0.015245273837381279,0.006879374548000694,0.8745532523230879,False,True,True,True,True,False,False,4,False,0,False,False
0.91,0.7212294496068621,0.7237312365975697,0.9965432098765433,0.9904105263599687,0.01143674052894925,0.015247047088361382,0.8904109589041096,0.8566825953554036,0.12138188608776844,0.1043602573266619,1.0012554061110792,0.9929325381688368,18.0,0.9595375722543353,0.8926101384894108,13.0,1.8888576705583349,1.9125260114367404,0.012375434758466475,0.00400953546908589,0.8956397426733381,True,True,True,True,True,False,False,5,False,0,False,False
0.915,0.7219442458899213,0.7237312365975697,0.9975308641975309,0.9920815357093755,0.008934953538241601,0.012372317845942359,0.8966942148760331,0.860006147572767,0.10130718954248366,0.0864903502501787,1.0015187038234847,0.9945904372439867,18.0,0.9653179190751446,0.9038576472480132,13.0,1.8934321777460088,1.9125260114367404,0.00998356810655232,0.0016176688171719578,0.9135096497498213,True,True,True,True,True,False,True,6,False,0,False,False
0.92,0.722301644031451,0.7237312365975697,0.9980246913580247,0.9932879160392714,0.006790564689063617,0.009863609122594826,0.9,0.8583963306388174,0.07983193277310924,0.06790564689063616,0.999317618111599,0.9952775095267196,18.0,0.9826589595375724,0.9364401426700871,13.0,1.9005019275673098,1.9125260114367404,0.006287017168669862,-0.0020788821207107233,0.9320943531093638,True,True,False,True,True,False,True,5,False,0,False,False
0.925,0.7226590421729807,0.7237312365975697,0.9985185185185186,0.9947958339812861,0.004288777698355968,0.006854413522076481,0.9104477611940298,0.8613416430091853,0.05695611577964519,0.04789135096497498,1.0017308217159244,0.9960611954729893,18.0,0.976923076923077,0.9416016292648867,13.0,1.9065359566356919,1.9125260114367404,0.003132012200215084,-0.005233887089165279,0.952108649035025,True,True,False,True,True,False,True,5,False,0,False,False
0.93,0.7237312365975697,0.7237312365975697,1.0,0.9967503256502159,0.0028591851322373124,0.0050670851454501405,0.9090909090909091,0.8457613532763809,0.03734827264239029,0.031451036454610434,1.002719802762709,0.9973937193513176,18.0,0.9846153846153847,0.95174956212809,13.0,1.91045955444365,1.9125260114367404,0.0010804856931269091,-0.007285413596253454,0.9685489635453896,True,True,False,True,True,False,True,5,False,0,False,False
